date,event
2022-09-21,fomc
2022-10-07,payrolls
2022-10-13,cpi
2022-11-02,fomc
2022-11-04,payrolls
2022-11-10,cpi
2022-12-02,payrolls
2022-12-13,cpi
2022-12-14,fomc
2023-01-06,payrolls
2023-01-12,cpi
2023-02-01,fomc
2023-02-03,payrolls
2023-02-14,cpi
2023-03-10,payrolls
2023-03-14,cpi
2023-03-22,fomc
2023-04-07,payrolls
2023-04-12,cpi
2023-05-03,fomc
2023-05-05,payrolls
2023-05-10,cpi
2023-06-02,payrolls
2023-06-13,cpi
2023-06-14,fomc
2023-07-07,payrolls
2023-07-12,cpi
2023-07-26,fomc
2023-08-04,payrolls
2023-08-10,cpi
2023-09-01,payrolls
2023-09-13,cpi
2023-09-20,fomc
2023-10-06,payrolls
2023-10-12,cpi
2023-11-01,fomc
2023-11-03,payrolls
2023-11-14,cpi
2023-12-08,payrolls
2023-12-12,cpi
2023-12-13,fomc
2024-01-05,payrolls
2024-01-11,cpi
2024-01-31,fomc
2024-02-02,payrolls
2024-02-13,cpi
2024-03-08,payrolls
2024-03-12,cpi
2024-03-20,fomc
2024-04-05,payrolls
2024-04-10,cpi
2024-05-01,fomc
2024-05-03,payrolls
2024-05-15,cpi
2024-06-07,payrolls
2024-06-12,cpi
2024-06-12,fomc
2024-07-05,payrolls
2024-07-11,cpi
2024-07-31,fomc
2024-08-02,payrolls
2024-08-14,cpi
2024-09-06,payrolls
2024-09-11,cpi
2024-09-18,fomc
2024-10-04,payrolls
2024-10-10,cpi
2024-11-01,payrolls
2024-11-07,fomc
2024-11-13,cpi
2024-12-06,payrolls
2024-12-11,cpi
2024-12-18,fomc
2025-01-10,payrolls
2025-01-15,cpi
2025-01-29,fomc
2025-02-07,payrolls
2025-02-12,cpi
2025-03-07,payrolls
2025-03-12,cpi
2025-03-19,fomc
2025-04-04,payrolls
2025-04-10,cpi
2025-05-02,payrolls
2025-05-07,fomc
2025-05-13,cpi
2025-06-06,payrolls
2025-06-11,cpi
2025-06-18,fomc
2025-07-03,payrolls
2025-07-15,cpi
2025-07-30,fomc
2025-08-01,payrolls
2025-08-12,cpi
2025-09-05,payrolls
2025-09-11,cpi
2025-09-17,fomc
2025-10-24,cpi
2025-10-29,fomc
2025-11-20,payrolls
2025-12-10,fomc
2025-12-16,payrolls
2025-12-18,cpi
2026-01-09,payrolls
2026-01-13,cpi
2026-01-28,fomc
2026-02-11,payrolls
2026-02-13,cpi
2026-03-06,payrolls
2026-03-11,cpi
2026-03-18,fomc
2026-04-03,payrolls
2026-04-10,cpi
2026-04-29,fomc
2026-05-08,payrolls
2026-05-12,cpi
2026-06-05,payrolls
2026-06-10,cpi
2026-06-17,fomc
2026-07-02,payrolls
2026-07-14,cpi
2026-07-29,fomc
2026-08-07,payrolls
2026-08-12,cpi
2026-09-04,payrolls
2026-09-11,cpi
